搜索关键词,品牌,价格,商家类型,评价数,协议 (标签),容量,Index_protocol
Hidden_Keyword,Brand_A,9999.0,旗舰店,5000,PCIe 4.0,1024,0
Hidden_Keyword,Brand_A,989.0,旗舰店,5000,PCIe 4.0,1024,0
Hidden_Keyword,Brand_A,1318.35,第三方,0,PCIe 4.0,1024,0
Hidden_Keyword,Brand_A,1004.0,第三方,100,PCIe 4.0,1024,0
Hidden_Keyword,Brand_K,2089.38,第三方,0,PCIe 4.0,1024,0
Hidden_Keyword,Brand_K,2955.59,第三方,0,PCIe 4.0,1024,0
Hidden_Keyword,Brand_K,1599.0,第三方,1,PCIe 4.0,1024,0
Hidden_Keyword,Brand_K,2084.0,第三方,1,PCIe 4.0,1024,0
Hidden_Keyword,Brand_K,1649.0,旗舰店,5000,PCIe 4.0,2048,0
Hidden_Keyword,Brand_K,1799.0,第三方,45,PCIe 4.0,2048,0
Hidden_Keyword,Brand_K,1669.0,第三方,5000,PCIe 4.0,2048,0
Hidden_Keyword,Brand_K,1598.0,第三方,100,PCIe 4.0,2048,0
Hidden_Keyword,Brand_K,1598.0,第三方,200,PCIe 4.0,2048,0
Hidden_Keyword,Brand_K,1615.05,第三方,0,PCIe 4.0,2048,0
Hidden_Keyword,Brand_K,1558.0,第三方,100,PCIe 4.0,2048,0
Hidden_Keyword,Brand_L,2699.0,第三方,1000,PCIe 5.0,2048,1
Hidden_Keyword,Brand_L,2699.0,第三方,10000,PCIe 5.0,2048,1
Hidden_Keyword,Brand_L,2799.0,第三方,1000,PCIe 5.0,2048,1
Hidden_Keyword,Brand_L,2699.0,第三方,46,PCIe 5.0,2048,1
Hidden_Keyword,Brand_L,2499.0,第三方,2000,PCIe 5.0,2048,1
Hidden_Keyword,Brand_L,2799.0,第三方,1,PCIe 5.0,2048,1
Hidden_Keyword,Brand_L,3099.0,第三方,1,PCIe 5.0,2048,1
Hidden_Keyword,Brand_L,2599.0,第三方,51,PCIe 5.0,2048,1
Hidden_Keyword,Brand_L,2599.0,旗舰店,2000000,PCIe 5.0,2048,1
Hidden_Keyword,Brand_L,2999.0,第三方,49,PCIe 5.0,2048,1
Hidden_Keyword,Brand_L,2699.0,第三方,21,PCIe 5.0,2048,1
Hidden_Keyword,Brand_L,2889.0,第三方,200,PCIe 5.0,2048,1
Hidden_Keyword,Brand_L,2899.0,第三方,21,PCIe 5.0,2048,1
Hidden_Keyword,Brand_L,2589.0,第三方,8,PCIe 5.0,2048,1
Hidden_Keyword,Brand_L,2699.0,第三方,1000,PCIe 5.0,2048,1
Hidden_Keyword,Brand_L,2913.0,第三方,500,PCIe 5.0,2048,1
Hidden_Keyword,Brand_L,4235.3,第三方,42,PCIe 5.0,4096,1
Hidden_Keyword,Brand_L,4699.0,第三方,2000,PCIe 5.0,4096,1
Hidden_Keyword,Brand_L,4699.0,第三方,2000,PCIe 5.0,4096,1
Hidden_Keyword,Brand_L,4899.0,第三方,51,PCIe 5.0,4096,1
Hidden_Keyword,Brand_L,3999.0,第三方,51,PCIe 5.0,4096,1
Hidden_Keyword,Brand_L,4489.0,第三方,2,PCIe 5.0,4096,1
Hidden_Keyword,Brand_L,4499.0,第三方,4,PCIe 5.0,4096,1
Hidden_Keyword,Brand_L,5188.5,第三方,0,PCIe 5.0,4096,1
Hidden_Keyword,Brand_L,4499.0,第三方,66,PCIe 5.0,4096,1
Hidden_Keyword,Brand_L,4399.0,旗舰店,2000000,PCIe 5.0,4096,1
Hidden_Keyword,Brand_R,889.0,第三方,3,PCIe 4.0,1024,0
Hidden_Keyword,Brand_R,1032.0,第三方,3,PCIe 4.0,1024,0
Hidden_Keyword,Brand_R,1024.0,第三方,100,PCIe 4.0,1024,0
Hidden_Keyword,Brand_R,958.0,第三方,3,PCIe 4.0,1024,0
Hidden_Keyword,Brand_R,1219.0,旗舰店,1000000,PCIe 4.0,1024,0
Hidden_Keyword,Brand_R,933.0,第三方,100,PCIe 4.0,1024,0
Hidden_Keyword,Brand_R,2131.0,第三方,0,PCIe 4.0,1024,0
Hidden_Keyword,Brand_R,1758.0,第三方,0,PCIe 4.0,1024,0
